NHDPlusID,GL_pass
60001300024946,1
60001300024959,1
60001300024968,1
60001300024971,1
60001300025010,1
60001300025028,1
60001300025046,1
60001300025047,1
60001300025057,1
60001300025069,1
60001300025076,1
60001300025077,1
60001300025085,1
60001300025097,1
60001300025107,1
60001300025121,1
60001300025134,1
60001300025141,1
60001300025194,1
60001300025203,1
60001300025213,0
60001300025224,1
60001300025229,1
60001300025237,1
60001300025238,1
60001300025239,1
60001300025249,1
60001300025260,1
60001300025265,1
60001300025267,1
60001300025278,1
60001300025280,1
60001300025282,1
60001300025293,1
60001300025296,1
60001300025298,1
60001300025300,1
60001300025142,1
60001300025168,1
60001300025176,1
60001300024903,1
60001300024907,1
60001300024935,1
60001300024943,1
60001300025304,1
60001300025306,1
60001300025309,1
60001300025322,1
60001300025326,1
60001300025329,1
60001300025333,1
60001300025342,1
60001300025369,1
60001300025374,1
60001300025380,1
60001300025383,1
60001300025385,1
60001300025393,1
60001300025398,1
60001300025408,1
60001300025418,1
60001300025420,1
60001300025433,1
60001300025434,1
60001300025470,1
60001300025481,1
60001300025484,1
60001300025494,1
60001300025500,1
60001300025502,1
60001300025510,1
60001300025515,1
60001300000809,1
60001300000815,1
60001300000823,1
60001300000834,1
60001300000842,1
60001300000843,1
60001300000854,1
60001300000856,1
60001300000863,1
60001300000865,1
60001300000872,1
60001300000876,1
60001300000878,1
60001300000881,1
60001300000884,1
60001300000886,1
60001300000898,1
60001300000901,1
60001300000903,1
60001300000907,1
60001300000910,1
60001300000929,1
60001300000941,1
60001300000947,1
60001300000950,1
60001300000956,1
60001300000958,1
60001300000962,1
60001300000966,1
60001300000982,1
60001300000985,1
60001300000998,1
60001300001000,1
60001300001008,1
60001300001009,1
60001300001024,1
60001300001036,1
60001300001045,1
60001300001058,1
60001300001066,1
60001300001084,1
60001300001096,1
60001300001103,1
60001300001113,1
60001300001124,1
60001300001127,1
60001300001134,1
60001300001140,1
60001300001146,1
60001300001151,1
60001300001176,1
60001300001206,1
60001300001208,1
60001300001229,1
60001300001231,1
60001300001246,1
60001300001262,1
60001300001288,1
60001300001289,1
60001300001317,1
60001300001352,1
60001300001372,1
60001300001388,1
60001300001392,1
60001300001393,1
60001300001400,1
60001300001428,1
60001300001436,1
60001300001438,1
60001300001440,1
60001300001445,1
60001300001561,1
60001300001562,1
60001300001579,1
60001300001602,1
60001300001614,1
60001300001633,1
60001300001447,1
60001300001450,1
60001300001456,1
60001300001464,1
60001300001477,1
60001300001482,1
60001300001504,1
60001300001507,1
60001300001510,1
60001300001513,1
60001300001536,1
60001300001547,1
60001300001548,1
60001300001551,1
60001300001555,1
60001300001640,1
60001300001646,1
60001300001650,1
60001300001662,1
60001300001663,1
60001300001666,1
60001300001677,1
60001300001685,1
60001300001694,1
60001300001718,1
60001300001722,1
60001300001730,1
60001300001737,1
60001300001743,1
60001300001751,1
60001300001760,1
60001300001761,1
60001300001763,1
60001300001781,1
60001300001784,1
60001300001788,1
60001300001793,1
60001300001823,1
60001300001834,1
60001300001849,1
60001300001850,1
60001300001853,1
60001300001859,1
60001300001860,1
60001300001865,1
60001300001874,1
60001300001878,1
60001300001884,1
60001300001900,1
60001300001904,1
60001300001911,1
60001300001913,1
60001300001915,1
60001300001921,1
60001300001927,1
60001300001931,1
60001300001958,1
60001300001964,1
60001300001965,1
60001300001974,1
60001300001979,1
60001300001980,1
60001300001986,1
60001300002000,1
60001300002001,1
60001300002003,1
60001300002014,1
60001300002025,1
60001300002031,1
60001300002033,1
60001300002046,1
60001300002052,1
60001300002054,1
60001300002080,1
60001300002086,1
60001300002091,1
60001300002095,1
60001300002102,1
60001300002123,1
60001300002135,1
60001300002150,1
60001300002156,1
60001300002157,1
60001300002169,1
60001300002171,1
60001300002179,1
60001300002198,1
60001300002203,1
60001300002214,1
60001300002236,1
60001300002237,1
60001300002239,1
60001300002245,1
60001300002250,1
60001300002253,1
60001300002263,1
60001300002265,1
60001300002276,1
60001300002286,1
60001300002085,1
60001300002087,1
60001300002090,1
60001300002291,1
60001300002296,1
60001300002300,1
60001300002309,1
60001300002323,1
60001300002325,1
60001300002345,1
60001300002371,1
60001300002393,1
60001300002394,1
60001300002397,1
60001300002400,1
60001300002415,1
60001300002437,1
60001300002438,1
60001300002440,1
60001300002447,1
60001300002452,1
60001300002459,1
60001300002461,1
60001300002473,1
60001300002475,1
60001300002477,1
60001300002487,1
60001300002497,1
60001300002501,1
60001300002517,1
60001300002529,1
60001300002541,1
